class,text
Hate,Leave us a alon damn migrants go home
Non-Hate,I Can't Stand #Hypocrites The #LooneyLeft #Liberals and #Demoncrats Are Miserable Ppl https://t.co/lsqFxdSp19
Hate,Hull... city of culture??  To the idiots holding up signs across Europe 'refugees welcome' hang your heads in fucking disgrace!!! Let's hope it's not one of you next #Karma #HateEU #LEAVE https://t.co/O8zIaZB0XA
Non-Hate,#WomenDisobey  1995 Barbara Jordan Press Conference on Legal Immigration https://t.co/SVP3dlCP0K via @YouTube
Non-Hate,Trixie is so peng 😍🙈👅 — YEAH SHES PENGGGG for an immigrant tho 😍😍💗💗 https://t.co/OqKuayaaGB
Non-Hate,"To be clear: the people on the left are the future of the Democratic Party, the people on the right are the future of the Republican Party. As an immigrant i walked away from the people on the left and I joined with honor the people on the right #walkaway https://t.co/95qCwZq6a0"
Non-Hate,Serbian government committed to resolving refugee issue https://t.co/DlsRa2XcWV
Non-Hate,Italy to help check Tunisia migrant flows - Defence Minister https://t.co/glHWEdSTaN https://t.co/y5ffhs5KRI
Non-Hate,Dehumanising language to describe migrants. Anyone NOT doing this nowadays? It’s all a load of bollocks btw. https://t.co/NR9SJ8rpI9
Non-Hate,"WAIT, ARE YOU EVEN ALLOWED TO SAY THIS NOW? Anti-ILLEGAL immigration, like pro-ILLEGAL immigration, is a legitimate political position. https://t.co/ytCXABR6Sd"
Non-Hate,Iris scans + food = #foodsecurity for #refugees in Uganda. Read our new blog: https://t.co/FDqmyY3I9k https://t.co/qte95yDe0x
Hate,@ronbeatyjr @CharlieBakerMA @BakerPolito @RandyHuntCPA Charlie Faker Baker is a traitor!  He prefers illegal immigrants over American citizens!  He claims he worries about the illegal immigrant children but doesn’t care about all the children that have
Non-Hate,The #commonweath of VA welcomes all immigrants to its benefit and theirs @GerryConnolly https://t.co/Zdtv3pk4N3
Hate,@The_Trump_Train @realDonaldTrump We need to keep saying it until its built! #BuildThatWall
Non-Hate,Have you seen this yet @Bitscreed?
Hate,Austrian newspaper KURIER dont speak of the new Antisemitism of islamic refugees. https://t.co/Ll8dlQ0JUe
Hate,"I #stress How long before there becomes here? With no assimilating, open borders and the diluting of American #values and #culture. America is becoming there! @glennbeck @theblaze @WorldOfStu @PatUnleashed @realDonaldTrump @POTUS #BuildThatWall #MAGA @GOP #BuildTheWall #Purge"
Non-Hate,@jordanbpeterson Immigration in a picture      https://t.co/bNRq7N7Oj3
Non-Hate,"Wannabe rocker @JoeNBC Scarborough credits Obama for strong economy: ""This is not an economy Donald Trump gave us.”  This joker is so jealous of the President😂😂😂😂President Trump drives Joe and Mika crazy because he has done more in less than 2 years than Obama did in 8 years https://t.co/eZMk2NVQnR"
Non-Hate,"Even CNN says Trudeau is in trouble over illegal immigration. It says his focus should be on what he can control, starting with curbing the flow of migrants crossing into Canada. He is under growing pressure from provincial premiers and big city mayors https://t.co/RkP0LZNnvt"
Non-Hate,https://t.co/38l0ebz63W
Non-Hate,"‘˜My clothes, my choice’: Denmark’s ban on Muslim face veils is met with protest | National PostBet you didn't say that to the immigration officer during your interview... https://t.co/01W4WdYjQK"
Hate,"@cnni The Judge will be overturned, the President has control over immigration not the courts. #NODACA #SENDTHEMHOME"
Hate,"@CAPimmigration WE Know that the 80,000 Americans Killed by Illegals will never be reunited and that is unacceptable Start Mass deportations of All ILLEGALS who have no right to be in the U.S Protect Americans Not Illegals # #Immigration @RealDonaldTrump"
Non-Hate,"First one officer was in Calais injured. Police open fire to 9 refugees, which want to go to Greatbritan by car. https://t.co/UsZLmcPVyd"
Non-Hate,@Mikel_Jollett @blackrepublican Thats a lie you can not merge Legal Immigrants with Illegal Aliens Stats to come out with a #FakeState https://t.co/hu0pk06P0j
Non-Hate,Why on earth would Syrian refugees have any trust in Russia?https://t.co/VDn66UkoJe
Non-Hate,#WorldRefugeeDay is tomorrow! You can help refugee rebuild their lives in the U.S. by joining our World Refugee Day campaign. Get started âž_x009d_ https://t.co/QzFjSqWwJ8
Non-Hate,Laura Lunn has always been passionate about working with asylee &amp; refugee populations. Learn how she is leading the charge for immigrant rights in her role as Managing Attorney for the Detention Program at @RMIAN_org #keepfamiliestogether 👉 https://t.co/Ooas1gksyy
Non-Hate,"I am not surprised she agrees with Brandon Lewis, she probably told him what to say !Would this lightweight chairperson really start an internecine battle in the Tory Party without prior agreement from the PM ?Do me a favour ! https://t.co/FyuG3dRBPq"
Non-Hate,Merkel calls for 'more control on migration' https://t.co/tXqtNideDk
Non-Hate,Protesters in DC Rally For Immigration Rights https://t.co/k2nEV1GPw5
Non-Hate,The German Government Pays for 3 Week Vacation for Refugees to Go Home (?) https://t.co/nogl0JBten  German citizens have turned into brainless sheep to tolerate this.
Hate,"#FakeNews production... Gee, they should trademark it!A Czech tourist notices something odd about these “drowning refugees” - they R part of the paid #FakeNews filming crew! Oh the poor #Muslims!@BBC @CNN coproduction!#Soros smirks contentedly.. https://t.co/lf4qeKAYov"
Non-Hate,"Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov https://t.co/wc5e5nMkGH https://t.co/Y5wpGcz9uz"
Hate,"1200 refuegges went to Spain in the last 2 days. Spain decided to let them in free without any registration. Sozialists say, this is a problem for Europe and the refugees will run now against north to foolish Germany. https://t.co/00mX1gGkfT"
Hate,"@IngrahamAngle @MailOnline IngrHam, wr R the far Lefties now (Global kooks)..  why R they not protesting in these countries where these immigrants are fleeing from (come on George $orOh$) and that’s why we #Conservatives R smart enough not to buy into t"
Hate,"Stephen Miller (right) and Larry McKenney of Capitol Radiology listen as Trump speaks during a meeting at the White House last year. https://t.co/YQ7ZANAZ3gWe are not in 1950, we have to start limiting legal immigration. And completely stop illegal immigration."
Hate,Sad to see how entire forest ridge around Nizzamudin-Delhi being encroached by Muslim community&amp;Bangladeshi illegal immigrants.NO ACTION
Non-Hate,"Fists fly, and so does a megaphone, as rapefugee crisis inflames local politics in Dhimmi Toronto area https://t.co/qKf0q7UoAj"
Non-Hate,"1,500 migrants have died in Mediterranean in 2018, Italy deadliest route: U.N. https://t.co/jfBxqKkkzi"
Hate,"@lisaga Stop Using MLK to Support Illegal Aliens Who Kill Bladks, Take Jobs From Blacks and Destroy the Black Community  MLK did not Support Illegal #Immigration BLACK TRUMP SUPPORTER DROPS THE MIC, ""SANCTUARY CITIES ARE RACIST!"" https://t.co/a8hu0U2QoC"
Non-Hate,What does #peace mean for #Eritrea ’s #Refugees ? #AfricanArguments #Africa #GlobalNews #geopolitics @hrw @humanrights1st @UNHumanRights @demorgen @TV5MONDE https://t.co/dVdertOyn4 https://t.co/dVdertOyn4
Non-Hate,[Feature] Congolese refugees ask Korean firm not to supply voting machines to their country https://t.co/VRAxenBrcR
Non-Hate,"CNN 8:55am DEPORTED PARENTS WAIT MONTHS TO REUNITE WITH CHILDREN. . Mario Russell Immigrant &amp; Refugee Services, Catholic Charities..."
Hate,German Minister of Family Affairs blames Germany for rape attacks by migrants - Free Speech Time - https://t.co/X1o0hMe97M @ISupport_Israel
Non-Hate,2015! OLD BUT GOOD ENOUGH! 62% of Illegal Immigrant Households on Welfare | Steven Camarota and Ste... https://t.co/CRgvCEVPeS via @YouTube
Non-Hate,Very good news! These people are not refugees! https://t.co/PYgZp30yBP
Non-Hate,Identity cards 'would curb illegal immigration and prevent another Windrush' https://t.co/EjJx5EIco8
Hate,The Homeland Security in USA knows that refugees of all countries into the USA is a highrisk for the USA and shoud be stopped quick. https://t.co/WOvI1ljwVw
Hate,"HUGE mistake, anyone living there should immediately move out of the state, endangering children like this should never happen, girls, females will be attacked and raped due to it, so dumb @potus @realDonaldTrump #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike"
Hate,"Tucker Carson ""We need to start looking at the relationship between immigration and crime"" Yes we do thanks bro ðŸ™ŒðŸ_x008f_»ðŸ’¯"
Non-Hate,This Open Letter From Detained Immigrant Parents To The American People Is Soul-Crushing https://t.co/LcKPxH8y76
Non-Hate,"Meet Karamba, a gregarious East High School Senior in #Memphis, soccer and football student athlete, and aspiring doctor with a heart to serve others. A former refugee from D. R. Congo,  he eagerly met with Tennessee... https://t.co/epfcxpot1D"
Non-Hate,O’ the Highest Authority of all the authorities! Help to end #Rohingya Genocide and facilitate safe repatriation of refugees in #Bangladesh. O’ the Most Liberal Who is besought! Liberate all persecuted people including Rohingya on Earth.#Muslim #Islam #Ramadan #LailatulQadr https://t.co/fxrw9M4WY7
Non-Hate,"Yep, around 80% of Syrian refugees in Jordan live in urban settings. That's why it's important to target the urban refugee population. At CRP, we serve refugees living in Amman, many of whom are Syrian. https://t.co/Pgd3uoQobI"
Non-Hate,Private prison operators are cashing in on “zero tolerance”. 70% of immigrant detainees are being held in facilities owned by private companies. Stocks in private prisons have risen over 100% since Trump’s election.
Hate,Burundi government denies involvement in forced repatriation of refugees https://t.co/aTAGxoUP9s https://t.co/8dKaDx9wS4
Non-Hate,New U.S. Policy Raises Risk of Deportation for Immigrant Victims of Trafficking https://t.co/hdQQYj1ub5
Non-Hate,want Canada to prioritize and welcome the most vulnerable #refugees in greatest need of our sanctuary – not just the relatively resourced asylum seekers who can reach our physical borders. https://t.co/DjzzxFlzM1
Hate,"HOW REFRESHING! In South Korea, there is no such thing as 'political correctness"" when it comes to dealing with Muslim refugee wannabes https://t.co/ZPvIrX1qiy via @barenakedislam"
Hate,@Raleigh10mm See it WORKS! #BuildThatWall #BuildTheWall
Non-Hate,"Cry baby Hollywood Dems Anti-Trump celebs too poor to run as a Mayor to show everyone they can be better politicians than him. Comments? @30SECONDSTOMARS no no no no new war under Trump, Europe is still handling the refugees from Obama's wars. Hi Ohio! @JohnKasich weekend feels"
Non-Hate,A question: should Tom Watson or any other labour MP be taking funding from a reported racist/facist?  https://t.co/CWLhPE33ZY  https://t.co/CwpH4I4qB7  https://t.co/ZU4TATJZHK https://t.co/QEi65O1EgD
Non-Hate,@qldhealthnews Its ok to be white
Non-Hate,Nigerian ‘˜Immigrant’ Doctor Sexually Assaulted Several Patients In Texas https://t.co/NdgWXlwfpp      Scum update...
Hate,Is the most dangerous politician in Canada a Somali Muslim migrant? https://t.co/cj9vi6rihw via @barenakedislam   Trudope gone insane...
Hate,"@TorontoStar In 2018: it's time to let diversityâ„¢ be someone else's strength.Remigration 2018:  Easy come, easy GO!!   https://t.co/sn5ZuuU6nvMy country was my home, now its a hotel, and they think I'm going to be a waiter.  #WhiteGenocide"
Non-Hate,"Liberals on odd days: Modi's India is saffron terror, Hindu Taliban, minority lyncher, intolerant, fascist regime.  Liberals on even days: Illegal Muslim Bangladeshi migrants feel home in India. Why should they go?"
Non-Hate,Populists are not anti immigrant or anti immigration or emigration they are PRO rational fair laws of… — Allan https://t.co/bUPl8MzBU6
Hate,But its humane for #IllegalAliens to kill Americans? Crazy sick. #BuildThatWall #supportICE #MAGAVeteran
Non-Hate,The three mothers of the 11 malnourished children found living in a filthy New Mexico compound were arrested and charged Sunday along with two men described as armed Muslim “extremists” after authorities raided the property in search of a 4-year-old boy. https://t.co/ZZmmG3L5wE
Hate,Who actually hopes this?nobody does #sendthemback https://t.co/6dBxuTy0Pk
Non-Hate,European Commission presents plan on creating #EU migration centers https://t.co/G5YnqSF2fL
Hate,@TMZ People like @6ix9ine and @NICKIMINAJ is the reason why Trump need to #buildthatwall!!!! #MAGA
Non-Hate,From janitor to nurse. How an Ethiopian immigrant seized his American dream in Minnesota: https://t.co/OvKdncWMiR
Hate,"Watch: Merkel's Germany is starting to look like Syria - immigrants set cars on fire ""just for fun"" - Free Speech Time - https://t.co/Cq7n2Hlm5N @ISupport_Israel"
Hate,"@deplorablem1ke @gatewaypundit This will be great. Hope @POTUS puts someone in charge who makes sure All $$$ goes toward construction costs. And he/she better get it going after day, Every million donated. #BuildThatWall"
Hate,"Behold the future DACA America - unless we Man The F*ck Up and Deport the illegal aliens.Sooner or later this will be us, having to take to streets crying out for our fellow Americans to MAN THE F*CK UP and save our girls.#NoDACA"
Hate,@SandraTXAS @codeofvets @MailOnline It will only be a matter of time before something happens to those ranchers.#BuildThatWall#BuildTheWall #BuildTheDamnWall
Hate,"He's fighting because it's his last stand, he knows jail is in his future. POS. .@realDonaldTrump #MAGA #AmericaFirst #BUILDTHATWALL #BoycottNFL #BoycottNike #boycottFirstMan .@KidRock #SundayMotivation .@GenFlynn .@PressSec .@Hulkanator11 #MAGA #WalkAway #LockThemUp"
Non-Hate,Behind the migrant and refugees labels are individual human beings. Read @floriophotoNYC interview @lensculture #destinationEurope #seacrossing #MigrantCrisis https://t.co/nqAr9KBv1U
Non-Hate,Look at this news article from The Daily Caller: Antonio Sabato Jr: I’m An Immigrant And I Support Trump’s Wall [VIDEO] https://t.co/p20i7VIHTG
Non-Hate,"ILLEGAL Immigrant Shoots Gun, Claims He’s Protected By The Second Amendment https://t.co/SRi3BZl3ou https://t.co/4vTWYjBvbo"
Non-Hate,"Syrian refugee, fisherman’s friend: How a retiring couple found a new heir to their Lake Ontario business https://t.co/jTXYkrrjlp"
Hate,@ziadtheactivist Oh we created the Mexican refugees? Americans fight for their country. Others run..:(..
Non-Hate,"Australian Gill Boehringer, an 85-year old human rights defender was barred from entering the country. Immigration bureau said that he is block-listed because of alleged involvement in an international fact-finding... https://t.co/pr3LvbV8Fw"
Non-Hate,"U.S. should stop detaining migrants, separating children: U.N. #UnitedStates #UnitedNations https://t.co/h8ipQnGvcr https://t.co/lM7JpCcmuA"
Hate,"@DonaldJTrumpJr @BreitbartNews #ICE at all voting booths! Deport all illegals , report the employers that are hiring them! They take our IDs vote in our elections and are a drain on our resources not to mention the drugs and murder. We are tired of it #Bu"
Non-Hate,Who is behind the Antifa Socialists?  Organized Labor Unions.  Immigrant Rights Groups.  Artists.  .....and more than likely a man named George Soros.  #AntifaTerrorists  https://t.co/acKY5nlWS9
Hate,"LMAOOOOOOOO!!! Stuff I Say... Some stuff be so damn Funny...Especially when it comes to Illegal Immigrants who are full fledged CRIMINALS Coming to America &amp; I said ""Fall off the Boat &amp; Fall all the way, as in a GO BACK HOME In even that"". Funny &amp; yet Truthful lolll lol dude smh https://t.co/hAwd3GNHDc"
Non-Hate,"In recent months, the focus of the media has been on the Rohingya refugees in India or recently about the furor over NRC in Assam. But the fact that Sri Lankan refugees, have been here for nearly 35 years,... https://t.co/JP8gnt6HdR"
Non-Hate,@volvocars thanks for ruining a beloved song from “The Sound of Music” by using that extremely creepy electronic version in your commercial.  Shame on you.
Non-Hate,World should manage #refugee crisis humanely https://t.co/sgtAB6IINH #WithRefugees @UNHCR_Kenya @Refugees @refugeeaffairs @drckenya @NRC_HoA @tyrusmaina @imaana102
Non-Hate,"Where are the girl refugees, asylum seekers, children? https://t.co/u8VYeJ4D81 #NotMyPresident #cruel #racist #inhumane #xenophobic #criminal #misogynist"
Non-Hate,"@MSNBC They can help and take the children into their churches and feed them - also in Italia the Pope can open the petersdome for refugees, which will sheet into the building sure."
Hate,Did you know?Government statistics of crimes committed by illegalsIllegals comprise 7% of populationIllegals account for72% of all drug possession33& of all money laundering29% of all drug trafficking22% of all federal murders18%of all frauds#NODACA
Non-Hate,Russian immigrant seeks Democratic nomination for Alaska’s U.S. House seat https://t.co/W81AcaYmSD https://t.co/2Ap30guqIf
Hate,Attacks on Kurds in a Greek camp raise fears that conflict in Syria has followed refugees abroad https://t.co/v9e9mnZgSH
Non-Hate,"This is outrageous! But, sadly, this kind of corruption is what we've gotten used to with our current administration! 😠 https://t.co/Gik2Ziy0eG"
Non-Hate,"Candidates, pay attention: We're building the most powerful force to ever hit midterm elections.  If you're not actively working to dismantle the president's anti-immigrant machine, you're complicit. And we'll make sure your voters remember. https://t.co/GexINQJjIy"
Hate,"If #WeThePeople want a #WALL - Give us a WALL!! #Congress works for US, not themselves and the Special Interests who pour BILLIONS of dollars into their Coffers. It's not up to them, it's up to US! #BuildTheWall #BuildThatWall #MAGA #KAG"
Non-Hate,The Latest: #Spain reports 328 migrant rescues at sea https://t.co/KtaOmeBzU2
Hate,@Ohio_Buckeye_US @Redtowel4 String him up to show the message that you will pay for your crimes in a COUNTRY where you are NOT supposed to be in!#BuildThatWall We are losing our legal citizens to those who should not be here in the first place! If they we
Non-Hate,"On Wednesday, August 8, DACA will be back in the courts &amp; this time, Texas Judge Andrew Hanen, a well-known anti-immigrant zealot, will decide the program’s fate.  Here's a recap of Hanen and Paxton’s anti-immigrant partnership in U.S. v. Texas: https://t.co/BncAN28XJi https://t.co/YLyXQ2MJSD"
Non-Hate,"Lawyer Mana Yegani: Immigrant Child Died In ICE Detention Center, Texas https://t.co/tEVAp47MjE"
Non-Hate,"#JaredKushner mulled disrupting the U.N. agency that provides relief to Palestinian refugees, a report says... https://t.co/WaOcCVdgrn https://t.co/a7nhBIggYF"
Hate,Mike Tyson calls Syrian refugees cowards. I agree. https://t.co/uMnruRhj8K
Non-Hate,"The story of an immigrant community in Columbus, Ohio and how changes in immigration enforcement are impacting them: https://t.co/kPG3TS8AEo https://t.co/uYTrVPXD5H"
Hate,Lesbos/Greece: Muslim refugees fight against christians there. Why Greece dont arrest them and send them home ? https://t.co/u6TQlnJlof
Hate,Illegal Alien kills 2 Search Dogs during pursuit #BuildTheWall #EndSanctuaryCities #EndChainMigration #AmericansFirst @AnnCoulter @charliekirk11 @realDonaldTrump @RealJamesWoods
Non-Hate,U.N. pact offers hope to world's climate migrants https://t.co/GuGjCVMrwc #WithRefugees #climatechange @Refugees @UNHCR_Kenya @drckenya @NRC_HoA @tyrusmaina @imaana102
Non-Hate,"WASHINGTON ‘“ Many Muslim immigrants express a sentiment of entitlement, believing they one day will replace the... https://t.co/eyj6hGAJH6"
Non-Hate,@MailOnline The tragedy also showed that refugees did get housing when they came to the UK I think the Uk treats refugees fair complainingno
Hate,@sabine_durden Stay strong Sabine we are with you! Whatever you need just ask #AngelMoms #BuildThatWall
Hate,"@TuckerCarlson, amazing show tonightPresident Trump doesn't need Congress to Build The Wall.Thank you @AnnCoulterPOTUS Trump, we are being invaded by a foreign country; defending our Borders is the # 1 job of the Commander-In-Chief.@realDonaldTrump PLEASE"
Non-Hate,Immigrant Families Being Reunited https://t.co/nohXUPWMrh
Hate,"Time to wake up!""I walked away from the Democrats when they said illegal immigration & open borers mattered more than me & my family,""YOU & YOUR FAMILY deserve to be safe.President Trump's highest duty is to keep America safe.#NoAmnesty #NoDACA #EVerify #BuildTheWall"
Hate,"@la_crip o right settle down 75 m turks could invade Europe no more kebabs ,Cameron ur immigration policy as a nappy for constipated people"
Non-Hate,"Protesters condemn US treatment of migrants, block bus https://t.co/KxRgwmGhUY"
Hate,"@xjv12 @ntvnyr173 @immivoice NO Thank You! Selling out Americans! Selling US jobs at all levels to ONE country! Stealing visas from other eligible nations. #noHR392Until the US gets our own countrymen back to work & boost our economy, #EndAllVisas H1B H2B"
Hate,Like Assam WB too is reeling under evil influence of illegal migrants So people there are also hopeful that NRC will soon be begun there too Only the BJP Govt under NaMo can have the gutts to do so Hence the celebrations https://t.co/WeXufhoq4j
Non-Hate,#BlackTwitter #WalkAwayFromDemocrats  #WalkAway #VoteDemsOut  #SundayMornibg #AMJoy  #Immigration https://t.co/3XF89pQc34
Hate,@ICEgov shes illegal. She admits it- why is she not deported? Why must we wait until AFTER they maim or kill before you deport?? #NoDACA #DeportThemAll
Non-Hate,#LawOfTheLand  #ACA #Immigration #MAGAWhen it came to #Obamacare Liberals told us “It’s the law of the land!”... https://t.co/4p6jpHMzp4
Non-Hate,"So far, over 400 people have decided to rally the support of their friends &amp; family to support refugees when they arrive in the U.S. Thank you!There is still plenty of time to join this campaign and help refugees rebuild their lives. Join here âž_x009d_ https://t.co/QzFjSqWwJ8 https://t.co/DYbJgXCmnZ"
Non-Hate,"Lawmakers will hear testimony on detention centers, after death of immigrant child who left facility https://t.co/0Y1IG6rAJL"
Hate,"@CassandraRules @vdare Immigration:When a group of smiling 3rd world faces move into your street, they know that the nice dumb White people will transfer $$ to pay for the new school and the costs of teaching lower-IQ kids.The White pioneers see their tax"
Non-Hate,"Germany frets, Soros lurks, as Spanish Socialists welcome AfricanÂ migrants...https://t.co/Z8MnrYFyAv https://t.co/RVojIwkPSn"
Non-Hate,"It does not matter who you are, old or young, rich or poor, male or female, left or right, citizen or immigrant, NOBODY should be subjected to this kind of treatment while incarcerated, least of all children.   This is not a matter of politics, it is a matter of human dignity. https://t.co/sykhaGkCF0"
Hate,Germany: Mass migration of un-assimilatable illegal alien people. PM Merkel and entire govt. will have a civil war of their own making. #StopTheInvasion  #NoMoreRefugees #MuslimBan #GermanyFirst
Hate,"Wherever they arrive #Muslim migrants bring destruction, unrest, fear &amp; crime!So why do we keep taking them in?#Spanish people may have voted in a socialist government but surely they haven't voted for their own demiseVote the gov down, fight back or accept being conquered https://t.co/aL0dKkv9c3"
Non-Hate,Immigrants &amp; community colleges - our students really made the day @MasonDREAMers @MasonHumSocSci @CabreraAngel @AngelaHattery &amp; thanks to @MarksMichelleA for  presentation on the ADVANCE program and @CCCIE Teresita Wisell @IMPRINTproject @ilctr https://t.co/Omx508c8wG
Non-Hate,Eight face prosecutor over murder of migrant https://t.co/VCOfnHLAQA https://t.co/blnFNqfCbB
Non-Hate,"Iraqi ""man"" arrested for police officer shooting in Colorado Springs...@AnnCoulter secret decoder ring needed to figure out which legal immigration program he used to get in here!  Refugee? Special Immigrant Visa for Afghans and Iraqis? What?https://t.co/6WxQhjqOn5 https://t.co/rKxuM6RTVQ"
Non-Hate,Chinese officials have complained when Hong Kong's Foreign Correspondents' Club has hosted controversial speakers. Now one former city leader is criticizing the group's lease of a government building. https://t.co/9bD5dukqCV
Non-Hate,"Immigrant Rights Advocates Protest Boughton, Cooperation With ICE  #Connecticut #WelcomeImmigrants https://t.co/bzarg1FLhb"
Non-Hate,"Bangladesh's plan to move 100,000 Burmese #Rohingya refugees from world's largest camp to this flood-prone uninhabited island would create world's largest island detention center @HRW https://t.co/vOqzi8uLiK https://t.co/sgUSYkB7dq"
Non-Hate,Child Prostitution: Feds Break Up Mexico-to-Queens Sex Trafficking Ring https://t.co/4Jd6lIN3jy via @WNYC
Non-Hate,@Refugee_Support @WelcomeProject @AkwaabaHackney @HMSCentre @migrants_rights @sdetsup would any of your staff/volunteers be interested? https://t.co/sOx6shjvMx
Hate,"@RepMattGaetz Oh no! Sick of leftist lunacy. They stir them to hysteria to do the dirty work for ""the party"". Enough - dems care about none. #Trump jeep #MAGA #BuildThatWall #ConfirmJudgeKavanaugh great to all that support Trump and his supporters."
Hate,"WATCH WHAT HAPPENS NEXT! Muslim migrant challenges welfare worker, and t... https://t.co/6XOTv681Pq via @YouTubeTHAT'S EXACTLY WHAT WE MUST DO !!!"
Hate,150 â‚¬ is enough to life; a customer declares how this is easy possible. Normally refugees should get only bread and water and no money and they should sleep in a tent. https://t.co/4p6NOCmyok
Non-Hate,gay capital/immigrant sanctuary - a stark depiction of the cretinous ideological delusion the left inhabits  'Asian' Men Sought After ‘Homophobic Assault’ in UK 'City of Sanctuary' https://t.co/PjFz1FDwy7 via @BreitbartNews
Hate,@Debradelai BIG BEATIFUL WALL!#BuildTheWall #BuildThatWall
Hate,"@RealBenCarson While building a wall, give illegal immigrants a year to come forward giving them a process to become legal#thencrackdown"
Non-Hate,Hundreds of Syrian refugees started crossing the border from Lebanon on Saturday. https://t.co/J8xoyaFQYn
Hate,"#QAnon The red line is being drawn, and we are sick of illegals killing innocent Americans or almost. #DeportThemAll #ImmigrationReform #BuildThatWall #LockHisAssUp #KAG2018 #WWG1WGA #PatriotsUnited @realDonaldTrump"
Non-Hate,"I am a proud, Mexican immigrant. I love this country.   I've been told all my life I should be a democrat because I'm Mexican, an immigrant and a minority. That is absolute trash.   The democRats hate America and want to take away our rights given to us in the constitution."
Hate,Look in the face of this criminal captain. He rescued refugees against law and is now by court in Malta. Hopefully he will get a hard fine and his ship will taken away. https://t.co/7uzFZsSjBq
Hate,"Another one of @NancyPelosis Dreamers has murdered 3 people n Arizona, one of them a baby.#NoDACA #NoAmnesty #BuildTheDamnWall #AmericaFirst"
Non-Hate,"We cannot as a city or a country stand proudly and say that we welcome refugees whilst at the same time refusing to act humanely or indeed act at all, in situations such as these. https://t.co/xEPxThjuyJ"
Non-Hate,Happening now! Don't miss your chance to attend the Immigrant Arts and Women's empowerment summit hosted by our friends @immigrantarts #ImmigrantArtsSummit #WeAreAllImmigrants https://t.co/Qwn8MhEZ5c
Non-Hate,Back From Dilley Immigrant Detention Center: Interview With Nolo Immigration Attorney/Volunteer Kyle Knapp https://t.co/jAQDPRX7Ql
Non-Hate,"This is disgusting!Pakistani doctor in #Australia watches video of his son raping a 13 year old girl and says, ""He would make a good Gynecologist"".#Rotherham #Telford #Grooming#Muslims #immigration #BNP #Patriots #Nationalist #Trumphttps://t.co/5ZoZXrCh2X"
Non-Hate,no thanks they are the reason we are not independent selfish individuals who wanted to use the NHS etc to much immigration no thanks
Hate,Labour has mishandled cases of antisemitism. Conservative party is run by a vicar's daughter who organised a van to drive around telling immigrants to 'go home' and openly supports UKIP and DUP racism and thuggery.I don't see an equivalence. https://t.co/44cyvzzaZM
Non-Hate,Over 160 undocumented migrants held in Turkey https://t.co/Kh3xCLvODX
Non-Hate,Video: #Spain opens refugee camp after becoming new destination for migrants https://t.co/2dfst6yX5L https://t.co/s2SlWlNjt0
Non-Hate,Germany's BAMF migration office warns against fake employees https://t.co/4bHev8hgLT
Hate,"@ksorbs @2Thedogpound Illegal Aliens should all be deported along with their entire family NOT, I repeat NOT given free anything .. #NoHealthCare #NoHousing #NoFinancialSupport #NoDACA #NoAmnesty #SendThemBack #StopTheInvasion #BuildTheWallNow from the Pa"
Non-Hate,Are you bilingual? This is how you can use your language skills to help refugees.âž¡ï¸_x008f_@tarjimlyapp https://t.co/MsWjgTMsyB
Hate,EVERY DAMN DAY REPORTED A CHILD RAPED BY AN ILLEGAL. AM SHOUTING ALL CAPS BECAUSE TODAY IT WAS TWO REPORTED. THE OTHER IN ALABAMA. @GOP THIS IS ON YOU! #BuildThatWall
Hate,"118,000 seats in our #Texas Stadium..for the #OctoberRally yah #RedTsunami#MAGA #GOP#TRUMP#TEDCRUZ #2A @NRA#BUILDTHATWALL"
Non-Hate,"Only miserable Remaniac European migrants here would jack in good jobs &amp; go back home. Just to make a point. Quite probably the ones on benefits in fact. Not wanted anyway. All the ones I know are quite happy and don't whinge about shite so don't seem to get any ""hate"". Clue? 🤔 https://t.co/KHUFlys1l0"
Non-Hate,"News in Numbers: India to US is the busiest route for migration of skilled labourers, World Bank report says https://t.co/Fc9x19nCQa"
Non-Hate,"Thank you to everyone who has participated in our World Refugee Day campaign this month, by giving, fundraising, advocating, and praying! Because of your efforts, refugees across the U.S. will have the support they need to rebuild their lives. Give here âž_x009d_ https://t.co/QzFjSqWwJ8 https://t.co/yeeTjoBgIm"
Hate,WATCH: German women say migrants rape women because it is allowed under Islamic culture - Free Speech Time - https://t.co/OU7qPaGkV2 @ISupport_Israel
Non-Hate,August 18 11 am - 3 pm in Newton Surrey..I am organizing a block party for 150 low income and immigrant children. I am looking for any supports possible. My grant from Vancouver Foundation covers live music $100.00 and $100.00 for art supplies$300.00 toward food/juices/deserts. https://t.co/F7eScBBY62
Non-Hate,Sweden Inc. sounds alarm as election signals jobs clampdown on immigrants https://t.co/DkYSdcpMcI
Non-Hate,"DÃ©tention administrative des #migrants, un entretien avec Christin Achermann et Laura Rezzonico @nccr_onthemove. https://t.co/LiLoiTvBNu"
Hate,"@Queen_Europe Muslim migrant beheads 1-year-old girl, Merkel bans media..https://t.co/RXnJEsrSpv You are suppose to protect your people. Shame on you. The next head could be yours. Dont trust your Muslim friends."
Hate,So the economic migration crisis will now get rapidly worse into 2021. And anyone opining that a province like Ontario can absorb a million people into the social infrastructure is not understanding the macro events underway and the system collapse that would trigger.
